Source_File,Page_Number,Formal_Context,Formal_Query,Colloquial_Query
RAUVISIO brilliant Technical Guide.pdf,14,"1. The raw laminate and fabricated elements should only 
be transported on the original packaging unit.
2. Always unload packaging units sideways and from the 
middle.
3. The raw laminate and fabricated elements should 
always be stored on the original pallet or with 4-timber 
storage.
4. The raw laminate and fabricated elements must not 
be stored outside or in damp rooms.
5. Raw laminates and fabricated elements should always 
be stored appropriately at the installation location and 
not exposed to strong UV light sources.
Acclimate preassembled elements prior to installation 
for at least 24 hours at room temperature (min. 18°C 
{64°F}). At delivery temperatures below 0°C {32°F}, 
acclimate the elements for at least 48 hours on all sides.
7. No objects are to be rested on raw boards and 
fabricated elements as these could cause damage.
8. RAUVISIO brilliant is suitable for vertical applications 
indoors. Check with the manufacturer about special 
application cases if necessary.
9. All materials and components must be checked for 
damage or defects prior to processing/assembly.
10. T emporary storage must take place prior to 
installation exclusively in the original packaging in frost-
free and closed rooms.
11. Load-bearing substructures, which are firmly 
connected to each other, are to be aligned so that they 
are flat and vertical.
12. T o avoid stress cracks, no bending should occur 
during processing and assembly.
13. Do not bring unprotected corner connections of 
wooden substrates into contact with moisture prior to 
installation.
14. In the case of wooden substrate boards, all cut edges 
and raw board edges must be sealed so that they are 
watertight.
15. All drilled holes in the wooden substrate boards must 
be sealed during assembly so that they are watertight.
16. T ools must not be used on the surface.
17. No strong solvents, special cleaners (e.g., drain 
cleaners, industrial cleaners, abrasive cleaners or abrasive 
cleaning cloths) or strong chemical substances may be 
used on the surface.
18. Heavy dirt can cause scratches during cleaning, 
therefore always clean dirty areas carefully with a 
microfiber cloth.
19. Do not stand on unassembled or assembled 
RAUVISIO brilliant elements.
20. Installation for indoor vertical applications only.
National standards, specifications, legislation, operating 
instructions (e.g., electronic devices) or similar must be 
observed.
08 Installation guidelines
14","What are the recommended transportation, storage, and handling procedures for raw laminate and fabricated elements to ensure their integrity and prevent damage?",How do I move and store these things without messing them up?
RAUVISIO brilliant Technical Guide.pdf,15,"The non-porous, homogeneous acrylic surface material is easy to clean and suitable for contact with food and is resistant to fungal 
and bacterial growth.
Clean with a damp microfiber cloth and mild soap if needed. Do not dry-wipe the acrylic finish. Avoid abrasive cleaners, solvent-
based cleaners and harsh chemicals. Do not use paper towels, brushes or scouring pads. REHAU is not responsible for any damage 
done by abrasive cleaning products or procedures.
It is possible that surface marks which affect the surface may be visible after many years of use, or through improper handling. The 
innovative structure of RAUVISIO brilliant allows these to be removed by manual or machine grinding and polishing.
RAUVISIO brilliant is resistant to most substances found in the household. Prolonged exposure to aggressive substances can leave 
behind marks or damage the material.
RAUVISIO brilliant is warm and pleasant to the touch and has an excellent visual depth effect.
The table shows the media tested and the exposure time:
RAUVISIO brilliant
Substances T Result
Acetic acid 16 h 5
Citric acid 16 h 5
Ammonia water 16 h 5
Ethyl alcohol 16 h 5
Red wine 16 h 5
Beer 16 h 5
Cola 16 h 5
Coffee 16 h 5
Black tea 16 h 5
Black currant juice 16 h 5
Evaporated milk 16 h 5
Water 16 h 5
Petrol 16 h 5
Acetone 16 h 1
Ethyl-butylacetate 16 h 1
Butter 16 h 5
OIive oil 16 h 5
Mustard 16 h 4
Onion 16 h 5
Disinfectants 16 h 3-4
Cleaning agent 16 h 5
Cleaning solution 16 h 5
Assessment according to DIN EN 12720 (07/2009)
Chemical 
durability
Result
5 No visible change
4 Just noticeable change in gloss or color
3
Slight change in gloss or color; the 
structure of the test surface is not 
changed
2
Heavy marks visible; the structure of the 
test surface is however largely 
undamaged
1 Heavy marks visible; the structure of the 
test surface is changed
0 T est surface severely changed or 
destroyed
T Exposure time
h hour(s)
Requirement as classification code to DIN EN 12720:2009-07
09 Care and usage instructions for the end user
 15","What is the recommended cleaning procedure for RAUVISIO brilliant surfaces, considering their resistance to fungal and bacterial growth, and what are the implications of using abrasive or solvent-based cleaners?","Can I use a paper towel to wipe down my RAUVISIO brilliant surface? And if not, how do I clean it without damaging it?"
RAUVISIO brilliant Technical Guide.pdf,16,"Customer Service Contacts
Hours    Monday to Friday, 8 am to 4:30 pm EST
Email orders to    orders.us@rehau.com
www.na.rehau.com/surfaces
United States 
Phone (888) 734-2810     Fax (616) 285-7622
Canada
Phone (888) 905-0345     Fax (514) 905-0490
For updates to publication, visit  na.rehau.com/resourcecenter
The information contained herein is believed to be reliable, but no 
representations, guarantees or warranties of any kind are made as 
to its accuracy, suitability for particular applications or the results 
to be obtained therefrom. Before using, the user will determine 
suitability of the information for user’s intended use and shall 
assume all risk and liability in connection therewith.    
© 2025  REHAU       122.03   03.2025","What are the standardized operating hours for customer service contacts in the United States, and what is the recommended protocol for submitting orders via electronic mail?","Hey, can you tell me when your customer support team is available? And how do I send them an email with my order?"
RAUVISIObrilliantSpecSheets.pdf,1,"RAUVISIO brilliant™ High-Gloss Acrylic Surface Board 
Section 06400
Architectural millwork specification information
01 General 
1.1 Related sections
 A. Section 06410 – Custom cabinets
 B. Section 12320 – Manufactured wood casework
 C. Section 12350 – Specialty casework
1.2 Submittals
 A. Submit under provisions of Section 01300
 B. Manufacturer’s data sheets on product being used
  1. RAUVISIO brilliant technical information 
1.3 Quality assurance and testing
 A. Installer qualifications: Cabinet/millwork professional
 B. T esting information can be found in the RAUVISIO brilliant technical information
1.4 Storage and handling
 A. Store products in manufacturer’s unopened packaging until ready for installation.
 B. Store in dry, protected, well-ventilated area and protect from damage.
 C. Store away from dust and debris.
1.5 Safety 
 A. T o ensure safety and proper use of the product, follow manufacturer‘s safety guidelines found in the RAUVISIO brilliant technical  
      information.
1.6 Project conditions
 A. Maintain environmental conditional (temperature, humidity, and ventilation) within limits recommended by manufacturer for 
      optimal results. Do not install products under environmental conditions outside manufacturer’s absolute limits.
1.7 Warranty
 A. Provide manufacturer’s limited warranty 
02 Products
2.1  Manufacturers
 A. Acceptable manufacturer: REHAU Industries LLC 
    1501 Edwards Ferry Road NE Leesburg, VA 20176 
    (703) 777-5255 | info@rehau.com | www.rehau.com/us-en 
  B. Substitutions: Not permitted.
 C. Requests for substitutions will be considered in accordance with provisions of Section 01600.
2.2  RAUVISIO brilliant High-Gloss Acrylic Surface Board by REHAU Industries
 A. Approved product: REHAU’s RAUVISIO brilliant High-Gloss Acrylic Surface Board
  1. RAUVISIO brilliant High-Gloss Acrylic Surface Board fabricated by approved fabricator
   a. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Board Bianco 5000B
   b. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Board Cemento 1919L
   c. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Board Gabbiano 6339B
   d. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Board Cappuccino 1917L
   e. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Board Cubanite 5338B
   f. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Board Roccia 2101L
   g. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Board Grafite 2100L
   h. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Board Magnolia 5335B","What are the specific requirements for storing and handling RAUVISIO brilliant High-Gloss Acrylic Surface Board products to ensure optimal results, as outlined in Section 06400 of the product manual?",How do I store this fancy surface board stuff so it doesn't get damaged or messed up?
RAUVISIObrilliantSpecSheets.pdf,2,"i. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Board Prugna 5642B
   j. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Board Moro 5112B
   k. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Board Meringa 5026B
   l. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Board Titanio 2102L
   m. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Board Bigio 6340B 
2.3  RAUVISIO brilliant matching edgebanding by REHAU Industries
 A. Approved product: REHAU LaserEdge™ edgebanding
  1. RAUVISIO brilliant Mirror Gloss REHAU LaserEdge edgebanding, fabricated by approved manufacturer
   a. 23 mm x 1.2 mm REHAU LaserEdge Mirror Gloss Bianco 76367
   b. 23 mm x 1.2 mm REHAU LaserEdge Mirror Gloss Cemento 63376
   c. 23 mm x 1.2 mm REHAU LaserEdge Mirror Gloss Gabbiano 2230W
   d. 23 mm x 1.2 mm REHAU LaserEdge Mirror Gloss Cappuccino 140501
   e. 23 mm x 1.2 mm REHAU LaserEdge Mirror Gloss Cubanite 2228W
   f. 23 mm x 1.2 mm REHAU LaserEdge Mirror Gloss Roccia 140809
   g. 23 mm x 1.2 mm REHAU LaserEdge Mirror Gloss Grafite 78920
   h. 23 mm x 1.2 mm REHAU LaserEdge Mirror Gloss Magnolia 140252
   i. 23 mm x 1.2 mm REHAU LaserEdge Mirror Gloss Prugna 76474
   j. 23 mm x 1.2 mm REHAU LaserEdge Mirror Gloss Moro 76490
   k. 23 mm x 1.2 mm REHAU LaserEdge Mirror Gloss Meringa 78083
   l. 23 mm x 1.2 mm REHAU LaserEdge Mirror Gloss Titanio 38374
   m. 23 mm x 1.2 mm REHAU LaserEdge Mirror Gloss Bigio 2229W
03 Execution
3.1  Examination
 A. Do not begin installation until all products are properly prepared and hardware installed.
3.2  Installation
 A. Install in accordance to manufacturer’s instructions found in the RAUVISIO brilliant technical information using screw on  
      European concealed hinges.
3.3  Protection
 A. Protect installed product until completion of project.
 B. Remove peel coat after installation of product.
04 Links
 
4.1 RAUVISIO brilliant technical information
 www.rehau.com/downloads/1195268/rauvisio-brilliant-technical-guide.pdf
4.2  RAUVISIO brilliant board limited warranty
 www.rehau.com/downloads/1532224/rauvisio-panel-and-finished-component-limited-warranty.pdf
4.3  RAUVISIO brilliant edgeband limited warranty
 www.rehau.com/downloads/734738/standard-purchase-terms-and-conditions.pdf
4.4  RAUVISIO brilliant
 na.rehau.com/brilliant","What are the specifications for the RAUVISIO brilliant High-Gloss Acrylic Surface Boards and matching edgebanding products, particularly regarding their dimensions, materials, and finishes?",What's the deal with these fancy surface boards and edgebands? Can I get some details on what they're made of and how they look?
RAUVISIObrilliantSpecSheets.pdf,3,"RAUVISIO brilliant™ High-Gloss Acrylic Surface Cabinet Doors
Section 06400
Architectural millwork specification information
01 General 
1.1 Related sections
 A. Section 06410 – Custom cabinets
 B. Section 12320 – Manufactured wood casework
 C. Section 12350 – Specialty casework
1.2 Submittals
 A. Submit under provisions of Section 01300
 B. Manufacturer’s data sheets on product being used
  1. RAUVISIO brilliant technical information 
1.3 Quality assurance and testing
 A. Installer qualifications: Cabinet/millwork professional
 B. T esting information can be found in the RAUVISIO brilliant technical information
1.4 Storage and handling
 A. Store products in manufacturer’s unopened packaging until ready for installation.
 B. Store in dry, protected, well-ventilated area and protect from damage.
 C. Store away from dust and debris.
1.5 Safety 
 A. T o ensure safety and proper use of the product, follow manufacturer‘s safety guidelines found in the RAUVISIO brilliant technical  
      information.
1.6 Project conditions
 A. Maintain environmental conditional (temperature, humidity, and ventilation) within limits recommended by manufacturer for 
      optimal results. Do not install products under environmental conditions outside manufacturer’s absolute limits.
1.7 Warranty
 A. Provide manufacturer’s limited warranty 
02 Products
2.1  Manufacturers
 A. Acceptable manufacturer: REHAU Industries LLC  
    1501 Edwards Ferry Road NE Leesburg, VA 20176 
    (703) 777-5255 | info@rehau.com | www.rehau.com/us-en 
  B. Substitutions: Not permitted.
 C. Requests for substitutions will be considered in accordance with provisions of Section 01600.
2.2  RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors by REHAU Industries
 A. Approved product: REHAU’s RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors
  1. RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors fabricated by approved fabricator
   a. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors Bianco 5000B
   b. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors Cemento 1919L
   c. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors Gabbiano 6339B
   d. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors Cappuccino 1917L
   e. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors Cubanite 5338B
   f. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors Roccia 2101L
   g. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors Grafite 2100L
   h. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors Magnolia 5335B","What are the specific requirements for submitting RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors to ensure compliance with Section 06400, and what testing information can be found in the RAUVISIO brilliant technical information?",How do I submit my cabinet doors and what kind of testing is done on them?
RAUVISIObrilliantSpecSheets.pdf,4,"i. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors Prugna 5642B
   j. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors Moro 5112B
   k. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors Meringa 5026B
   l. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors Titanio 2102L
   m. 19.1 mm RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors Bigio 6340B 
03 Execution
3.1  Examination
 A. Do not begin installation until all products are properly prepared and hardware installed.
3.2  Installation
 A. Install in accordance to manufacturer’s instructions found in the RAUVISIO brilliant technical information using screw on  
      European concealed hinges.
3.3  Protection
 A. Protect installed product until completion of project.
 B. Remove peel coat after installation of product.
04 Links
 
 4.1 RAUVISIO brilliant technical information
 www.rehau.com/downloads/1195268/rauvisio-brilliant-technical-guide.pdf
                  
4.2  RAUVISIO brilliant cabinet door limited warranty
 www.rehau.com/downloads/1532224/rauvisio-panel-and-finished-component-limited-warranty.pdf
4.3  RAUVISIO brilliant 
 na.rehau.com/brilliant","What are the specific requirements for preparing and installing RAUVISIO brilliant High-Gloss Acrylic Surface Cabinet Doors, including hardware installation and hinge usage, as outlined in the manufacturer's instructions?",How do I get started with installing these fancy cabinet doors? What do I need to do first and what kind of hinges should I use?
RAUVISIObrilliantSpecSheets.pdf,5,"RAUVISIO brilliant™ High-Gloss Acrylic Surface Floating Shelves
Section 06400
Architectural millwork specification information
01 General 
1.1 Related sections
 A. Section 06410 – Custom cabinets
 B. Section 12320 – Manufactured wood casework
 C. Section 12350 – Specialty casework
 D. Section 105629 - Storage racks
1.2 Submittals
 A. Submit under provisions of Section 01300
 B. Manufacturer’s data sheets on product being used
  1. RAUVISIO brilliant technical information 
1.3 Quality assurance and testing
 A. Installer qualifications: Cabinet/millwork professional
 B. T esting information can be found in the RAUVISIO brilliant technical information
1.4 Storage and handling
 A. Store products in manufacturer’s unopened packaging until ready for installation.
 B. Store in dry, protected, well-ventilated area and protect from damage.
 C. Store away from dust and debris.
1.5 Safety 
 A. T o ensure safety and proper use of the product, follow manufacturer‘s safety guidelines found in the REHAU Floating Shelf  
      Instruction Manual.
1.6 Project conditions
 A. Maintain environmental conditional (temperature, humidity, and ventilation) within limits recommended by manufacturer for 
      optimal results. Do not install products under environmental conditions outside manufacturer’s absolute limits.
1.7 Warranty
 A. Provide manufacturer’s limited warranty 
02 Products
2.1  Manufacturers
 A. Acceptable manufacturer: REHAU Industries LLC  
    1501 Edwards Ferry Road NE Leesburg, VA 20176 
    (703) 777-5255 | info@rehau.com | www.rehau.com/us-en 
  B. Substitutions: Not permitted.
 C. Requests for substitutions will be considered in accordance with provisions of Section 01600.
2.2  RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves by REHAU Industries
 A. Approved product: REHAU’s RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves
  1. RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves fabricated by approved fabricator
   a. 60.3 mm RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves Bianco 5000B
   b. 60.3 mm RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves Cemento 1919L
   c. 60.3 mm RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves Gabbiano 6339B
   d. 60.3 mm RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves Cappuccino 1917L
   e. 60.3 mm RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves Cubanite 5338B
   f. 60.3 mm RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves Roccia 2101L
   g. 60.3 mm RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves Grafite 2100L","What are the specific requirements for submitting manufacturer's data sheets on RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves, as outlined in Section 06400 of the product manual?",Do I need to provide any special documents or info when ordering these shelves?
RAUVISIObrilliantSpecSheets.pdf,6,"h. 60.3 mm RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves Magnolia 5335B
   i. 60.3 mm RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves Prugna 5642B
   j. 60.3 mm RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves Moro 5112B
   k. 60.3 mm RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves Meringa 5026B
   l. 60.3 mm RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves Titanio 2102L
   m. 60.3 mm RAUVISIO brilliant High-Gloss Acrylic Surface Floating Shelves Bigio 6340B 
03 Execution
3.1  Examination
 A. Do not begin installation until confirming all REHAU floating shelf package contents are complete and included with the shelf,  
      per the REHAU Floating Shelf Instruction Manual. 
3.2  Installation
 A. Install in accordance to manufacturer’s instructions found in the REHAU Floating Shelf Instuction Manual.
3.3  Protection
 A. Protect installed product until completion of project.
 B. Remove peel coat after installation of product.
04 Links
 
 4.1 RAUVISIO brilliant technical information
 www.rehau.com/downloads/1195268/rauvisio-brilliant-technical-guide.pdf
4.2 REHAU Floating Shelf Instruction Manual
 www.rehau.com/downloads/1620524/rehau-floating-shelves-installation-instructions.pdf
                  
4.3  RAUVISIO brilliant floating shelf limited warranty
 www.rehau.com/downloads/1532224/rauvisio-panel-and-finished-component-limited-warranty.pdf
4.4  RAUVISIO brilliant 
 na.rehau.com/brilliant","What is the recommended procedure for verifying the completeness of a REHAU floating shelf package before installation, as outlined in the REHAU Floating Shelf Instruction Manual?",Do I need to check everything that came with my floating shelves before putting them up?
RAUVISIO crystal Brochure.pdf,1,"Mine a gem as  
rare as you.
Inspired by gemstones, RAUVISIO crystal‘s 
natural and polished finishes achieve a rarified 
luster.
na.rehau.com/crystal","What is the precise mechanism by which RAUVISIO crystal's natural and polished finishes produce a rarefied luster, and what are the underlying physical properties that contribute to this effect?",How do I get my new RAUVISIO crystal thingy to look super shiny like a gemstone?
RAUVISIO crystal Brochure.pdf,2,"RAUVISIO crystal™ acrylic surface, 
found in its polished and natural finishes, 
brings cemented energy to achieve a 
rarified luster. The lightweight, yet 
durable polymer surface creates a deep 
and multifaceted aesthetic when finished 
with beveled REHAU LaserEdge™ 
technology. From its sleek cool facets to 
its color play, uncover radiant and deeply 
personal spaces with RAUVISIO crystal. 
Features & benefits
 ▪ Completely unique visual depth and  
       reflective quality
 ▪ Scratch resistant
 ▪ Chemical and stain resistant
 ▪ Easy to clean with microfiber towels
 ▪ T ake notes or write tasks with whiteboard  
       markers (polished) or chalk (natural)
 ▪ Cut and processed with woodworking tools
 ▪ 10x more break resistant than real glass
 ▪ 50% lighter than real glass
02","What is the precise optical property of RAUVISIO crystal acrylic surface that enables its unique visual depth and reflective quality, particularly in comparison to traditional glass surfaces?",Can I write on this stuff with a whiteboard marker? And how does it hold up against scratches and stains?
RAUVISIO crystal Brochure.pdf,3,"A surface that fascinates.
Our fascination with crystals, their origins, strength and composition, dates back to the beginning of civilization when our ancestors 
believed these formations contained healing powers, sometimes even deities, within them. Their cool-to-touch slick surface, dazzling 
glimmer and multifaceted reflection keep us mesmerized.
Polished vs  
Natural Finish
Stones in all finishes have a certain enchantment that 
draw passers-by in. For some, the gritty finish of raw 
gems isn’t lackluster; it’s laconic. For others, the slick 
polished state of a gem unlocks the colorful fire subdued 
within. Offered in polished and natural finishes, 
RAUVISIO crystal transitions seamlessly between sleek 
reflective gloss and powdery matte to create a singular 
reality in your space.
   Available in natural (matte) to use with chalk or polished (gloss) to use with whiteboard markers.
03",What are the optical and tactile properties of RAUVISIO crystal surfaces that contribute to their captivating visual appeal?,"Why do some people prefer the rough, matte finish on crystals over the shiny polished one?"
RAUVISIO crystal Brochure.pdf,4,"Colors
Zucchero*   polished    1923L
Bianco   polished    V2778 
   natural      1696L
Perla  polished     V2892 
   natural       1697L
Menta   polished    1684L Nebbia   polished    1910L 
   
Sabbia   polished    1687L 
   natural      1703L
Piano   polished    2015L Decorative Mirror  polished    1721L
* Color has directionality
Atlantico                   polished 2409L T erriccio                          polished   2405LLaguna   polished    2407L
Fumo   polished    1686L 
   natural      1702L
Request a sample at  
na.rehau.com/crystal
04","What is the specific color code and finish type for each Zucchero, Bianco, Perla, Menta, Sabbia, Piano, Decorative Mirror, Atlantico, Terriccio, Laguna, and Fumo color option?","Can I get a list of all the colors you guys have and what kind of finish they come in? Like, is it shiny or matte?"
RAUVISIO crystal Brochure.pdf,5,"Board specifications
RAUVISIO crystal is flat-laminated to a high-quality, 
super-refined, engineered MDF core that is PEFC, 
CARB2, TSCA Title VI certified which provides a stable, 
consistent substrate and virtually eliminates warping.
Edgeband specifications
RAUVISIO crystal polished components are 
edgebanded with duo-design REHAU LaserEdge with 
a clear layer at the top to match the crystal glass 
laminate sheet allowing the glass effect to continue all 
the way to the edge
RAUVISIO crystal natural components are 
edgebanded with our matching REHAU LaserEdge 
elegant matte edgeband trimmed at 45°, giving a 
glossy chamfered edge just like real frosted glass 
when cut. You can also choose a traditional radius 
edge. The bottom edge is a typical radius to give a 
proper appearance against the cabinet.
Cleaning and care
Clean with a damp microfiber cloth and mild soap if 
needed. RAUVISIO crystal has a very hard, scratch-
resistant finish. Avoid abrasive cleaners, solventbased 
cleaners and harsh chemicals. Do not use paper 
towels, brushes or scouring pads. REHAU is not 
responsible for any damage done by abrasive cleaning 
products or procedures.
Protective coat
A protective peel coat is applied to the top of the 
surface, as well as to the edgebanded sides. Do not 
expose peel coat to direct sunlight before removal. 
Remove promptly after installing cabinet but prior to 
mounting decorative hardware. T o remove peel coat, 
use rubber fingertips or our peel coat removal tool.
The RAUVISIO crystal acrylic surfaces
are laminated onto super-refined MDF
using specially formulated PUR glue in a
clean room environment to ensure an
optical grade reflective quality and perfectly 
balanced panels.
05  
RAUVISIO crystal technical information
The mystique of RAUVISIO crystal acrylic surface is its stone-hard nearly 2 mm clear acrylic top layer that creates intense 
reflectivity, entrancing optical depth with crisp facets and superb UV- and scratch-resistance. With natural and polished finishes, 
designs from mineral to mirror, board and slim configurations, RAUVISIO crystal is our most versatile line. It spans sensations from 
stunning to surprisingly fun: 
 ▪ Imagine RAUVISIO crystal slim™ as a backsplash or shower walls. 
 ▪ Accent an entrance with RAUVISIO crystal™ Decorative Mirror for a reflective acrylic surface. 
 ▪ Even create message boards: Write with chalk on the natural finish, dry-erase markers on the polished. 
RAUVISIO crystal is offered as boards, 4 mm wall panels and edgeband or fabricated panels and cabinet doors. On boards, panels 
and doors, the crystal laminate and a color-matched balancing backer are applied using PUR glue to an MDF core that is CARB2, 
TSCA Title VI certified. Panels and doors are finished with perfectly matched REHAU LaserEdge, then beveled for a convincing 
replication of back-painted or frosted cut glass. At 50% lighter and 10 times more break resistant than real glass, yet as easy to work 
with as engineered wood, RAUVISIO crystal is a gem of a surface you’ll mine time-and-again.","What is the precise composition of the RAUVISIO crystal acrylic surface, and how does it relate to the MDF core in terms of bonding and stability?",Is RAUVISIO crystal scratch-resistant? Can I use any cleaning products on it?
RAUVISIO crystal Brochure.pdf,6,"Profile specifications
Appearance Polished (gloss) or natural (matte) in solid color or stone inspired
Door style Slab and shaker with frame only
Design style Modern, contemporary
Construction PUR laminated face and back, REHAU LaserEdge
Face material Two-layer polished (gloss) or natural (matte), multiple colors
Back material Balancing sheet, matching color
Edgeband REHAU LaserEdge, matching color 
Core Super-refined MDF
Board thickness* 3/4 in (20.1 mm)
 
Cabinet door size parameters
Minimum slab 3 x 5 in (76.2 x 127 mm)
Maximum slab 50 x 109 in (1270 x 2768.6 mm)
Minimum shaker (glass insert or frame only) 8-7/8  in W x 11 in H (225.4 mm W x 279.4 mm H)
Maximum shaker (glass insert or frame only) 30 in W x 65 in H (762 mm W x 1651 mm H)
Maximum slab (RAUVISIO crystal Decorative Mirror) 47 x 95 in (1194 x 2413 mm)
Edgebanding profile
T op edge 1.3 mm radius or 45° 3 x 3 mm chamfer (radius only for shaker doors)
Bottom edge 1.3 mm radius
Finish polished Duo-design or mirror gloss, color matched
Finish natural Elegant matte, color matched
Accessory products
Backsplash Thickness 5/32 in (4 mm)
Cut-to size up to 50 x 109 in (127 x 277 cm)
Integrated handle 1-17/64 and 5/64 in (32 and 2 mm)
Appliance end panels 1.5 in thick panel, up to 4 ft W x 9 ft H
Polished radius edge profile Natural radius edge profile
Polished or natural bevel edge profile
Elegant matte LaserEdge
45° chamfered edge
2.0 mm acrylic laminate
Duo-design LaserEdge
2.0 mm color matched laminate
Clear
Color
2.0 mm acrylic laminate
Elegant matte LaserEdge 2.0 mm color matched laminate
Slab profile
2.0 mm color matched laminate
2.0 mm acrylic laminate
 06RAUVISIO crystal","What are the specific requirements for the edgebanding profile on a Rauvisio crystal decorative mirror cabinet door, considering the top and bottom edges, radius, and chamfer options?","Hey, what's the deal with the edges on my fancy new cabinet? Can I get some rounded or beveled edges, and how do I know which ones will work for my super big mirror door?"
RAUVISIO crystal Brochure.pdf,7,"Profile specifications
Application Backsplash, wall panel
Thickness 5/32 in (4 mm)
Sheet size 51 x 110 in (1300 x 2800 mm)
Face material Two-layer polished (gloss) or natural (matte), multiple colors
Back material Balancing sheet, matching color
Slim profile
2.0 mm acrylic laminate
2.0 mm color matched laminate
RAUVISIO crystal slim technical information
The system design of RAUVISIO crystal slim allows for a wide range of applications, including kitchen or bath backsplash, shower 
walls, partition walls or fillers. It can be perfectly matched with RAUVISIO crystal cabinet doors or used as a reflective accent.
Sheet specifications
RAUVISIO crystal slim is a 2 mm thick clear acrylic laminate, the bottom 0.4 mm is colored and the top 1.6 mm is clear.  The 2.0 mm 
thick backer laminate is a solid matching color 2 mm thick layer. The total thickness is 4 mm. 
Applications
RAUVISIO crystal slim is a great, modern alternative to use instead of glass in the kitchen and bathroom. It can serve as a 
backsplash, decorative wall panel or a shower wall cladding. Please note that if using RAUVISIO crystal slim as a backsplash behind a 
gas cooktop, it must be at least 12 in (304.8 mm) from an open flame. If this is not possible, we suggest installing a flame retardant 
material directly behind the cooktop. Reference the RAUVISIO crystal T echnical Information for more information.
Cleaning and care
Clean with a damp microfiber cloth and mild soap if needed. RAUVISIO crystal slim has a very hard, scratch-resistant finish. Avoid 
abrasive cleaners, solvent-based cleaners and harsh chemicals. Do not use paper towels, brushes or scouring pads. REHAU is not 
responsible for any damage done by abrasive cleaning products or procedures.
Protective coat
A protective peel coat is applied to the top of the glass surface. Do not expose peel coat to direct sunlight before removal. Remove 
promptly after installing RAUVISIO crystal slim. T o remove peel coat, use rubber fingertips or our peel coat removal tool.
50% lighter panels mean flexible 
design and ease of installation on 
site. Unlike real glass, RAUVISIO 
crystal slim is 50% lighter and 
can be cut, drilled and routed on 
the job site.
07","What are the specific requirements for installing RAUVISIO crystal slim backsplash behind a gas cooktop, considering the material's properties and safety guidelines?",Can I use this stuff as a kitchen backsplash if I have a gas stove? And how do I clean it?
